# Likely scene.json / project.json keys (camelCase identifiers, 3-28 chars)
# total matches: 1457 (incl. duplicates) | unique: 1133
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string
# NOTE: restricted to file-offset range 0x424e00..0x4da000 (data/read-only sections)

A 0x00475cb0  shadows
A 0x00475cb8  medium
A 0x00475cc0  volumetrics
A 0x00475cd0  reflection
A 0x00475ce0  audioinputdevice
A 0x00475cf8  default
A 0x00475d00  audioinputvolume
A 0x00475d18  audioinputthreshold
A 0x00475d30  mfEngine
A 0x00475d40  videoloopmode
A 0x00475d50  videoreadmode
A 0x00475d60  fromdisk
A 0x00475d70  videoaudiooutput
A 0x00475d88  videohardwareacceleration
A 0x00475da8  videomfstutterhack
A 0x00475dc0  processpriority
A 0x00475dd0  normal
A 0x00475dd8  belownormal
A 0x00475de8  managed
A 0x00475df0  adjustdwmcolormode
A 0x00475e08  highprecisiontimer
A 0x00475e20  english
A 0x00475e28  cefcommandline
A 0x00475e38  pausevram
A 0x00475e50  uieffects
A 0x00475e60  reloadaudio
A 0x00475e70  mediaintegration
A 0x00475e88  browsetransition
A 0x00475ea8  showonstartup
A 0x00475eb8  recentfiles
A 0x00475ec8  previewratio
A 0x00475f00  showgrid
A 0x00475f10  showselectionbox
A 0x00475f28  showstats
A 0x00475f38  showparticlecollision
A 0x00475f50  webmframework
A 0x004764c8  plugindelay
A 0x004764e8  description
A 0x00476518  status
A 0x00476d10  direction
A 0x00476d20  position
A 0x00476d40  monitorconfig
A 0x00476e98  random
A 0x00476ee8  everything
A 0x00476ef4  accent
A 0x00476efc  native
A 0x00476f08  mediablocklist
A 0x00476f38  propertylocation
A 0x00476f50  maximized
A 0x00476fb8  groups
A 0x00476fc0  splits
A 0x00476fc8  transitionpool
A 0x00476fe8  sorted
A 0x00476ff0  daytime
A 0x00476ff8  dayofweek
A 0x00477010  videosequence
A 0x00477020  updateonpause
A 0x00477030  beginfirst
A 0x00477040  playintro
A 0x00477050  daytimeend
A 0x00477810  precisionType
A 0x00477878  dropNullPlaceholders
A 0x00477890  enableYAMLCompatibility
A 0x004778b0  useSpecialFloats
A 0x004778c8  significant
A 0x00477938  decimal
A 0x0047d777  gFiiN
A 0x0047ee13  xuRCk
A 0x0047fc60  uRDZZ
A 0x00482255  blnOq
A 0x00484250  nfinity
A 0x004842b8  allowTrailingCommas
A 0x004842d0  allowComments
A 0x004842e0  allowDroppedNullPlaceholders
A 0x00484300  strictRoot
A 0x00484310  allowSingleQuotes
A 0x00484328  allowNumericKeys
A 0x00484340  failIfExtra
A 0x00484350  stackLimit
A 0x00484360  allowSpecialFloats
A 0x00484378  rejectDupKeys
A 0x00484388  skipBom
A 0x004844b8  german
A 0x004844f0  brazilian
A 0x00484500  bulgarian
A 0x0048453c  danish
A 0x00484570  finnish
A 0x00484598  french
A 0x004845d0  hungarian
A 0x004845e0  italian
